s	p	o
n5142	p1402	n16732
n5142	p1218	n17326
n2655	p2669	n2379
n2655	p3274	n7571
n2655	p3274	n19842
n2427	p1312	n1218
n8576	p2121	n15232
n2427	p1197	n2943
n2427	p3139	n672
n5142	p1600	n17443
n2752	p603	n14583
n2752	p603	n2731
n2731	p2771	n2655
n2731	p2771	n4517
n14583	p1960	n6096
n2731	p1123	n9026
n2731	p1738	n245
n2731	p2090	n19183
n2731	p1649	n19600
n2731	p3488	n3463
n2731	p2090	n3473
n2731	p3666	n12225
n2731	p2135	n7572
n2731	p2135	n19846
n2731	p3274	n7274
n2731	p1312	n1218
n2731	p2755	n7274
n2731	p2672	n7571
n2731	p2135	n19842
n2731	p492	n7289
n7289	p3023	n15232
n2731	p1692	n10881
n2731	p1576	n12050
n2731	p1715	n17835
n5142	p1721	n2731
n2764	p603	n2731
n2764	p603	n13538
n2731	p2771	n14583
n13538	p2771	n2731
n2731	p1122	n18101
n2430	p2209	n2731
n2430	p1474	n3115
n17443	p1694	n9014
n2430	p1164	n82
n13538	p1164	n102
n13538	p1123	n9026
n13538	p2090	n18056
n2430	p1649	n18058
n2430	p1646	n7571
n13538	p1646	n7571
n2430	p1646	n19878
n13538	p1646	n19878
n13538	p1221	n2655
n2430	p2528	n9026
n2430	p1478	n2160
n13538	p1601	n17443
n13538	p1646	n7573
n13538	p3102	n1075
n13538	p1576	n20901
n2430	p4021	n2784
n13538	p1719	n7367
n13538	p3752	n11271
n5142	p1694	n5330
n5142	p1218	n4696
n18855	p95	n18097
n10396	p331	n17835
n21079	p2404	n5142
n19337	p1352	n15725
n19337	p4121	n757
n14239	p1074	n21074
n19337	p3666	n17864
n19337	p1784	n127
n19337	p1785	n243
n19337	p1785	n166
n19337	p3666	n6167
n19337	p492	n1158
n19337	p492	n21417
n19337	p492	n20928
n19337	p492	n20358
n19337	p3023	n21526
n19337	p2405	n803
n19337	p1549	n3179
n19337	p2194	n7274
n19337	p1690	n3458
n19337	p2135	n3471
n3458	p132	n19338
n19337	p1650	n18904
n19337	p2817	n804
n19337	p2014	n17787
n19337	p1577	n5974
n19337	p2135	n10386
n19337	p258	n18837
n19337	p2228	n5142
n19337	p4144	n3460
n19337	p3666	n3982
n19337	p1096	n1158
n19337	p1096	n21417
n19337	p1096	n1469
n19337	p2135	n4191
n19337	p1784	n6885
n19337	p1784	n20708
n19337	p1784	n20722
n5142	p1784	n18613
n13682	p1784	n20249
n20900	p1784	n20255
n19337	p2014	n17795
n19337	p1785	n6886
n19337	p1785	n20275
n19337	p1440	n5550
n19337	p232	n21075
n19337	p492	n12803
n19337	p492	n7713
n19337	p1652	n13481
n19337	p2405	n5148
n19337	p1439	n7791
n5142	p1459	n932
n19337	p951	n19646
n19337	p1647	n13481
n19337	p2408	n3459
n19337	p1542	n9357
n19337	p2407	n799
n19337	p1718	n13683
n19337	p2997	n3177
n19337	p864	n5142
n19337	p1867	n574
n19337	p3646	n5330
n19337	p3283	n5544
n5142	p1600	n17436
n17419	p2729	n16732
n17436	p951	n19141
n17436	p951	n3967
n17423	p2829	n12143
n5142	p2276	n5335
n3308	p1983	n14941
n21633	p883	n8585
n17436	p1624	n11416
n17419	p977	n3039
n17436	p3666	n17423
n17436	p951	n13025
n11437	p708	n4775
n17436	p4067	n1252
n17436	p951	n19202
n17436	p951	n8949
n17436	p3666	n17440
n11437	p951	n108
n17436	p1081	n13024
n21065	p3666	n6138
n4737	p3666	n6138
n14907	p3666	n6138
n19337	p3666	n6138
n2774	p2090	n17862
n6207	p2090	n17862
n21257	p2090	n17862
n10255	p3666	n17939
n3308	p2135	n19177
n3308	p3666	n5773
n3308	p865	n13873
n17436	p3628	n10280
n17436	p1081	n14460
n3308	p44	n1259
n3308	p878	n10487
n3308	p3752	n11270
n21637	p883	n15748
n8588	p1982	n3314
n17436	p4145	n14422
n3308	p3735	n15316
n6024	p1861	n15772
n15772	p1861	n5142
n15772	p1861	n20683
n15772	p1861	n1560
n15772	p1861	n20945
n15772	p1861	n20944
n20683	p1402	n19857
n1560	p1132	n10330
n1560	p1132	n12259
n19590	p2032	n6970
n6002	p3722	n5142
n6002	p3722	n20683
n6002	p3722	n1560
n6002	p3722	n20945
n5142	p1033	n21065
n5142	p3807	n3458
n5142	p4075	n19337
n20683	p1876	n6240
n1560	p1032	n4075
n1560	p3806	n9139
n1560	p4074	n14639
n1560	p1049	n16670
n20945	p1033	n21065
n20945	p3807	n10541
n20944	p1033	n21065
n20944	p3807	n10541
n20683	p2125	n21257
n6002	p4119	n15771
n6002	p3801	n3665
n5142	p243	n18855
n19337	p2228	n760
n6240	p50	n11084
n1560	p4095	n4076
n20945	p609	n2774
n6004	p1989	n3678
n6002	p687	n3880
n6002	p1968	n12616
n6005	p951	n3879
n15771	p3744	n6242
n6004	p883	n3591
n6005	p3789	n12615
n6002	p440	n7258
n16732	p890	n12449
n12449	p2937	n21326
n16732	p1936	n10833
n16732	p1936	n7644
n17060	p492	n5142
n17060	p492	n7524
n17052	p492	n6616
n17052	p492	n5588
n17052	p492	n12662
n5142	p1194	n5330
n5142	p1194	n9861
n6616	p1194	n8392
n17054	p512	n3094
n17062	p512	n14761
n17054	p487	n12661
n17054	p487	n5590
n17054	p487	n4669
n12222	p500	n12670
n12222	p500	n20398
n5489	p500	n20380
n17054	p3770	n18855
n18855	p2034	n2777
n14239	p3914	n16276
n7565	p232	n12869
n6546	p487	n19413
n17053	p959	n12074
n17053	p729	n17061
n17053	p3914	n16517
n5142	p4297	n18855
n17054	p3870	n5625
n6546	p487	n10434
n6099	p487	n11512
n21145	p84	n14511
n18544	p124	n14504
n17054	p232	n4908
n7564	p3872	n18854
n10845	p610	n7646
n17053	p3744	n15005
n10385	p1577	n5976
n10385	p771	n15749
n10385	p3666	n12869
n10385	p2278	n1091
n10385	p1158	n1356
n10385	p2228	n14244
n10385	p2547	n14301
n19437	p571	n95
n10385	p2137	n104
n10385	p4082	n248
n3796	p3063	n19230
n10385	p29	n242
n10385	p28	n81
n10385	p1648	n16551
n10385	p489	n158
n10385	p488	n9837
n10385	p488	n2066
n10385	p4284	n11120
n10385	p3661	n17881
n10385	p868	n10542
n10385	p3026	n13690
n10385	p3307	n5457
n10385	p719	n2826
n10385	p2405	n14301
n10385	p532	n21794
n10385	p533	n21796
n10385	p488	n9836
n10385	p1058	n5077
n10385	p722	n5055
n10385	p3176	n1794
n10385	p2402	n3182
n10385	p3644	n105
n10385	p67	n20724
n10385	p3666	n17894
n10385	p3884	n13690
n5142	p1184	n6765
n5142	p1184	n12096
n5142	p1184	n15477
n5142	p491	n16732
n16732	p890	n18841
n16825	p3023	n11144
n19337	p2090	n5405
n19337	p2151	n7346
n19337	p152	n3611
n14239	p506	n12154
n12160	p1081	n14156
n13229	p1081	n1912
n19337	p68	n137
n21065	p848	n119
n3458	p848	n12
n12160	p1075	n266
n13229	p1075	n209
n19337	p4267	n16831
n11610	p3920	n286
n20677	p3920	n261
n10634	p3920	n14724
n21356	p3920	n8557
