node_id	label
n1	(+)-Fenfluramine
n2	(+)-Norfenfluramine
n3	(-)-Fenfluramine
n4	(-)-Norfenfluramine
n5	0.02ngPerMl
n6	0.04ngPerMl
n7	0.11ngPerMl
n8	0.17ngPerMl
n9	0.2mgPerKgPerDay
n10	0.41mgPerKgPerDay
n11	0.4mLPerMin
n12	0.5mgPerKgPerDayWhenCombinedWithStiripentol
n13	0.5ngPerMl
n14	0.5to25ngPerMl
n15	0.72ngPerMl
n16	0.7mgPerKgPerDay
n17	0.995
n18	0.997
n19	0.998
n20	0.999
n21	0PercentOfSCN1ANonMutatedGroup
n22	0_5To4Hz
n23	1.0ngPerMl
n24	1.5LODSupportInterval
n25	1000CompoundsFromPHARMAKON1600Library
n26	100Patients
n27	100Percent
n28	100mgPerKg
n29	100mgPerML
n30	1012
n31	10DaysPriorToPerfusion
n32	10MicroMolar
n33	10Minutes
n34	10PercentOfPatients
n35	10PercentOfSCN1ANegativeDravetSyndromePopulation
n36	10Point1Years
n37	10To20mgPerKgPerDayOver6To8Weeks
n38	10mgKgDayByDay7
n39	10mgPerKg
n40	10mgPerKgMorningAndMiddayAnd20mgPerKgEvening
n41	10mgPerKgPerDay
n42	10pAIncrementSteps
n43	11-OH-THC-d3
n44	116Patients
n45	11Patients
n46	12.8Days
n47	125PatientsWithDrugResistantEpilepsies
n48	129.Scn1a+/ÃÂ¢
n49	129Allele
n50	129AlleleAtDsm2
n51	129AlleleAtDsm3
n52	129AlleleProtective
n53	129Background
n54	129BackgroundPropagationStrategy
n55	129RelatedBackground
n56	129S1
n57	129S1_SvImJ
n58	129S1_SvImJGeneticBackground
n59	129S1_SvImJ_Background
n60	129S6SvEvTacBackground
n61	129S6SvEvTacStrain
n62	129S6_SvEvTac
n63	129S6_SvEvTacGeneticBackground
n64	129S6_SvEvTacStrain
n65	129S6_SvEvTac_Background
n66	129S6_SvEvTac_Strain
n67	129S6_SvEvTac_x_C57BL_6J
n68	129SWTMouse
n69	129Scn1aPlusMinusMouse
