Subject,Predicate,Object,Section,PMCID
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,5431801
SCN1A,hasMolecularAbnormality,LossOfFunctionMutation,Introduction,5431801
DravetSyndrome,hasAssociatedPhenotype,EpilepticEncephalopathy,Introduction,5431801
DravetSyndrome,hasInheritancePattern,DeNovoMutation,Introduction,5431801
DravetSyndrome,hasSeizureType,GeneralizedTonicClonicSeizure,Introduction,5431801
DravetSyndrome,hasSeizureTrigger,Fever,Introduction,5431801
DravetSyndrome,hasComorbidity,CognitiveImpairment,Introduction,5431801
DravetSyndrome,hasComorbidity,Ataxia,Introduction,5431801
DravetSyndrome,hasComorbidity,PsychomotorDysfunction,Introduction,5431801
DravetSyndrome,hasDrugResponse,PoorResponseToAntiepilepticDrugs,Introduction,5431801
DravetSyndrome,hasMolecularMechanism,SCN1AHaploinsufficiency,Introduction,5431801
Scn1a+/-Mouse,modelsDisease,DravetSyndrome,Methods,5431801
Scn1a+/-Mouse,hasPhenotype,SpontaneousSeizure,Methods,5431801
Scn1a+/-Mouse,hasPhenotype,PrematureDeath,Methods,5431801
Scn1a+/-Mouse,hasMolecularAbnormality,ReducedSodiumCurrentDensityInInterneurons,Methods,5431801
GS967,hasTarget,VoltageGatedSodiumChannel,Methods,5431801
GS967,hasPharmacologicProperty,PersistentSodiumCurrentInhibition,Methods,5431801
GS967,hasPharmacokineticProperty,ExcellentBrainPenetration,Methods,5431801
Lamotrigine,hasPharmacologicProperty,ConventionalSodiumChannelBlocker,Methods,5431801
Experiment,hasControlGroup,UntreatedScn1a+/-Mouse,Methods,5431801
Experiment,hasTreatmentGroup,GS967TreatedScn1a+/-Mouse,Methods,5431801
Experiment,hasTreatmentGroup,LamotrigineTreatedScn1a+/-Mouse,Methods,5431801
GS967TreatedScn1a+/-Mouse,hasImprovedOutcome,Survival,Results,5431801
GS967TreatedScn1a+/-Mouse,hasReducedPhenotype,SpontaneousSeizureFrequency,Results,5431801
GS967TreatedScn1a+/-Mouse,hasNoChangeIn,HyperthermiaInducedSeizureThreshold,Results,5431801
LamotrigineTreatedScn1a+/-Mouse,hasIncreasedPhenotype,SeizureFrequency,Results,5431801
GS967,reduces,NaV1.6ProteinLevel,Results,5431801
GS967,reduces,PyramidalNeuronSodiumCurrentDensity,Results,5431801
GS967,normalizes,PyramidalNeuronExcitability,Results,5431801
GS967,hasNoEffectOn,BipolarNeuronEvokedActionPotentialFrequency,Results,5431801
Lamotrigine,increases,PyramidalNeuronSodiumCurrentDensity,Results,5431801
Lamotrigine,hasNoEffectOn,NeuronalExcitability,Results,5431801
GS967,hasUnexpectedEffect,AntiepilepticActivityInDravetSyndrome,Discussion,5431801
GS967,hasMechanism,StabilizationOfSodiumChannelInactivation,Discussion,5431801
GS967,reduces,NaV1.6ProteinExpression,Discussion,5431801
NaV1.6,hasRoleIn,SeizureSusceptibility,Discussion,5431801
ReducedNaV1.6Function,confers,SeizureResistance,Discussion,5431801
Lamotrigine,hasNoAntiepilepticEfficacyIn,Scn1a+/-Mouse,Discussion,5431801
GS967,hasTherapeuticImplication,SelectiveNaV1.6Inhibition,Discussion,5431801
DravetSyndrome,hasPotentialTreatment,GS967,Discussion,5431801
GS967,improves,SurvivalAndSeizureControl,Discussion,5431801
GS967,hasSecondaryMechanism,ReductionOfNaV1.6MediatedExcitability,Discussion,5431801
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,6900043
DravetSyndrome,hasTreatment,Cannabidiol,Introduction,6900043
DravetSyndrome,hasTreatment,Clobazam,Introduction,6900043
Cannabidiol,hasPharmacokineticInteractionWith,Clobazam,Introduction,6900043
Cannabidiol,increases,PlasmaClobazamConcentration,Introduction,6900043
Cannabidiol,increases,NDesmethylclobazamConcentration,Introduction,6900043
DravetSyndrome,hasComorbidity,BehavioralDisturbance,Introduction,6900043
DravetSyndrome,hasComorbidity,SUDEP,Introduction,6900043
DravetSyndrome,hasSeizureType,FebrileSeizure,Introduction,6900043
DravetSyndrome,progressesTo,AfebrileSeizure,Introduction,6900043
Scn1a+/-Mouse,modelsDisease,DravetSyndrome,Methods,6900043
Scn1a+/-Mouse,hasPhenotype,SpontaneousSeizure,Methods,6900043
Scn1a+/-Mouse,hasPhenotype,PrematureDeath,Methods,6900043
Cannabidiol,inhibits,CYP3A4,Methods,6900043
