Subject,Predicate,Object
DravetSyndrome,hasGeneticCause,SCN1A
DravetSyndrome,hasComorbidity,SUDEP
Cannabidiol,isNegativeAllostericModulatorOf,CB1Receptor
Cannabidiol,modulates,GPR55
Cannabidiol,modulates,TRPV1
CBDTHCCombination,hasDualEffect,AnticonvulsantAndProconvulsant
HighTHCExposure,induces,ProconvulsantEffect
CBDTHCCombination,hasClinicalImplication,CautionInChronicUse
CBDTHCCombination,mayBeUsefulAs,AcuteRescueTherapyForFebrileSeizures
DravetSyndrome,hasModel,Scn1a+/-Mouse
Cannabis,contains,Phytocannabinoids
Cannabis,contains,CannabigerolicAcid
CannabigerolicAcid,isPrecursorOf,Cannabidiol
CannabigerolicAcid,isPrecursorOf,Delta9THC
Phytocannabinoids,havePotentialRoleIn,EpilepsyTreatment
CannabigerolicAcid,hasAnticonvulsantEffectOn,HyperthermiaInducedSeizures
CannabigerolicAcid,hasProconvulsantEffectOn,6HzThresholdTest
CannabigerolicAcid,increases,SpontaneousSeizureFrequency
CannabigerolicAcid,hasNoEffectOn,Survival
CannabigerolicAcid,potentiates,ClobazamAnticonvulsantEffect
CannabigerolicAcid,increases,ClobazamPlasmaConcentration
CannabigerolicAcid,reduces,NDesmethylclobazamConcentration
CannabigerolicAcid,inhibits,GPR55Activation
CannabigerolicAcid,inhibits,TRPV1ChannelActivity
CannabigerolicAcid,modulates,GABAAReceptor
CannabigerolicAcid,hasDualEffect,AnticonvulsantAndProconvulsant
CannabigerolicAcid,isPositiveAllostericModulatorOf,GABAAReceptor
CannabigerolicAcid,isNonCompetitiveAntagonistOf,GPR55
CannabigerolicAcid,inhibits,TRPV1
CannabigerolicAcid,causes,GABAAReceptorDesensitization
GABAAReceptorDesensitization,leadsTo,ProconvulsantEffect
CannabigerolicAcid,hasPharmacologicProperty,LowBrainPenetration
CannabigerolicAcid,hasMechanism,MultimodalActivity
CannabigerolicAcid,hasPotentialLiability,SeizureExacerbation
DravetSyndrome,hasPotentialTreatment,CannabigerolicAcid
CannabisSativa,contains,CannabigerolicAcid
CannabisSativa,contains,OlivetolicAcid
CannabigerolicAcid,isPrecursorOf,Phytocannabinoids
OlivetolicAcid,isPrecursorOf,CannabigerolicAcid
CannabigerolicAcid,hasAnticonvulsantEffect,SeizuresInScn1a+/-Mice
CBGAMethylEster,isAnalogOf,CannabigerolicAcid
CBGAMethylEster,hasImprovedProperty,ChemicalStability
Scn1a+/-Mouse,hasPhenotype,HyperthermiaInducedSeizure
CBGAMethylEster,hasBrainPenetration,13Percent
OlivetolicAcid,hasBrainPenetration,1Percent
OlivetolicAcid,hasAnticonvulsantEffectOn,HyperthermiaInducedSeizures
OlivetolicAcid,increases,SeizureTemperatureThreshold
CBGAMethylEster,hasNoEffectOn,SeizureThreshold
CBGAMethylEster,hasNoActivityAt,GPR55
OlivetolicAcid,hasNoActivityAt,GPR55
CBGAMethylEster,hasNoActivityAt,TTypeCalciumChannels
OlivetolicAcid,hasNoActivityAt,TTypeCalciumChannels
OlivetolicAcid,hasComparableEffectTo,Cannabidiol
CBGAMethylEster,isIneffectiveIn,HyperthermiaInducedSeizures
CBGAMethylEster,hasIncreased,BrainPenetrationComparedToCBGA
OlivetolicAcid,hasModestAnticonvulsantActivity,Scn1a+/-Mouse
OlivetolicAcid,hasNoActivityAt,GPR55AndTTypeCalciumChannels
OlivetolicAcid,mayActThrough,AlternativeTargets
OlivetolicAcid,hasMechanism,UnknownAnticonvulsantEffect
CBGAMethylEster,suggestsImportanceOf,CarboxylicAcidMoiety
OlivetolicAcid,hasPotentialTherapeuticTarget,GABAaReceptorAndTRPV1
OlivetolicAcid,requiresFurtherStudyFor,MechanismOfActionAndMetabolites
DravetSyndrome,hasPhenotype,DrugResistantEpilepsy
DravetSyndrome,hasComorbidity,DevelopmentalSlowing
SodiumChannelBlockers,aggravate,SeizuresInDravetSyndrome
Lamotrigine,canCause,SeizureExacerbation
ValproicAcid,isEffectiveFor,DravetSyndrome
Stiripentol,hasEvidenceFrom,RandomizedControlledTrial
Stiripentol,usedAs,AdjunctiveTherapy
Patients,hadConcurrentTreatmentWith,ValproateOrClobazam
Stiripentol,reduces,SeizureFrequencyByMoreThan50PercentIn23PercentOfPatients
Stiripentol,hasResponderRate,23Percent
Stiripentol,hasRetentionRate,62PercentAfter1Year
Stiripentol,hasRetentionRate,31PercentAfter5Years
Stiripentol,reduces,EpisodesOfStatusEpilepticus
Stiripentol,causes,Anorexia
Stiripentol,causes,WeightLoss
Stiripentol,causes,Unsteadiness
Stiripentol,causes,Tiredness
Stiripentol,leadsTo,WithdrawalIn23PercentDueToAdverseEffects
Stiripentol,isEffectiveIn,AdultsWithDravetSyndrome
Stiripentol,hasLowerResponderRateThan,ChildrenWithDravetSyndrome
Stiripentol,isAllostericModulatorOf,GABAAReceptor
Stiripentol,hasPharmacokineticInteractionWith,Clobazam
Stiripentol,inhibits,ClobazamMetabolismViaCYP3A4AndCYP2C19
Clobazam,and,StiripentolActOnSeparateGABAASites
Stiripentol,hasNoInteractionWith,SodiumValproate
Stiripentol,isRecommendedFor,AdultsWithDrugResistantDravetSyndrome
Stiripentol,improves,SeizureControlAndQualityOfLife
Stiripentol,hasMechanismOfAction,EnhancesGABAergicInhibition
Stiripentol,inhibits,LactateDehydrogenase
Stiripentol,blocks,SodiumAndCalciumChannels
Stiripentol,isApprovedFor,DravetSyndrome
Stiripentol,usedWith,ClobazamAndValproate
Stiripentol,reduces,ConvulsiveSeizuresAndStatusEpilepticus
Stiripentol,hasAdverseEffect,Anorexia
Stiripentol,hasAdverseEffect,WeightLoss
Stiripentol,hasAdverseEffect,Ataxia
Stiripentol,inhibits,CytochromeP4503A4And2C19
Stiripentol,hasResponderRate,FiftyThreePercentAtThreeMonths
Stiripentol,hasResponderRate,TwentyNinePercentAtTwelveMonths
Stiripentol,hasResponderRate,TwentyTwoPercentAtTwentyFourMonths
DravetSyndrome,hasResponderRate,SixtyFourPercentAtFortyEightMonths
OtherGeneticEpilepsies,hasResponderRate,ThirteenPercent
UnknownAetiology,hasResponderRate,ThirtyEightPercent
Stiripentol,improves,SeizureControlInGeneralisedEpilepsy
Stiripentol,hasRetentionRate,FiftyThreePercentAtTwelveMonths
Stiripentol,hasRetentionRate,ThirtyThreePercentAtTwentyFourMonths
Stiripentol,hasHigherEfficacyWhenInitiatedAt,EarlyChildhoodOrAdulthood
Stiripentol,associatedWith,ValproateResponseEnhancement
Stiripentol,causes,NeurologicalAdverseEffects
Stiripentol,causes,GastrointestinalAdverseEffects
Stiripentol,hasNoSeriousAdverseEvents,Observed
Stiripentol,isEffectiveIn,DravetSyndromeAndOtherEpilepsies
Stiripentol,hasHigherEfficacyIn,GeneralisedAndCombinedEpilepsies
DravetSyndrome,hasHighestResponderRateAmong,AllAetiologies
Stiripentol,exhibits,SustainedLongTermResponse
Stiripentol,hasNoDoseEffectRelationship,Observed
Stiripentol,isEffectiveWithout,ClobazamAdjunct
